row_id	museum_id	type	url	clean_url
3460	mm.hha.063	facebook	https://www.facebook.com/bowooduk	https://www.facebook.com/bowooduk
3461	mm.hha.063	twitter	https://twitter.com/bowooduk	https://twitter.com/bowooduk
3462	mm.domus.SE390	facebook	https://www.facebook.com/chchoxford	https://www.facebook.com/chchoxford
3463	mm.domus.SE390	twitter	https://twitter.com/chch_oxford	https://twitter.com/chch_oxford
3464	mm.hha.117	facebook	https://www.facebook.com/allertoncastle/	https://www.facebook.com/allertoncastle
3465	mm.hha.117	twitter	https://twitter.com/allertoncastle	https://twitter.com/allertoncastle
3479	mm.aim.1101	facebook	https://www.facebook.com/langdondownmuseum	https://www.facebook.com/langdondownmuseum
3480	mm.aim.1101	twitter	https://twitter.com/langdondown	https://twitter.com/langdondown
3481	mm.ace.1133	facebook	https://www.facebook.com/sharpespotterymuseumpage	https://www.facebook.com/sharpespotterymuseumpage
3482	mm.ace.1133	twitter	https://twitter.com/sharpesmuseum	https://twitter.com/sharpesmuseum
3490	mm.ace.1261	facebook	http://www.facebook.com/seacitymuseum	http://www.facebook.com/seacitymuseum
3491	mm.ace.1261	twitter	http://twitter.com/#!/seacitymuseum	http://twitter.com/#!/seacitymuseum
3493	mm.ace.1261	twitter	https://twitter.com/#!/seacitymuseum	https://twitter.com/#!/seacitymuseum
3494	mm.domus.NW120	facebook	https://www.facebook.com/the-ruskin-museum-345575902483304/	https://www.facebook.com/the-ruskin-museum-345575902483304
3495	mm.domus.NW120	twitter	https://twitter.com/ruskin_the?lang=en	https://twitter.com/ruskin_the
3496	mm.domus.WA075	facebook	no_resource	no_resource
3497	mm.domus.WA075	twitter	no_resource	no_resource
3498	mm.domus.SC271	twitter	https://www.twitter.com/ealeisure	https://www.twitter.com/ealeisure
3499	mm.domus.SC271	facebook	https://www.facebook.com/eayrshireleisure/	https://www.facebook.com/eayrshireleisure
3500	mm.aim.1261	twitter	https://twitter.com/turnershouse?ref_src=twsrc%5etfw	https://twitter.com/turnershouse
3501	mm.aim.1261	facebook	https://en-gb.facebook.com/turnerintwickenham/	https://en-gb.facebook.com/turnerintwickenham
3503	mm.fcm.239	facebook	https://www.facebook.com/norfolkandsuffolkbroads/	https://www.facebook.com/norfolkandsuffolkbroads
3504	mm.fcm.239	twitter	https://twitter.com/norfolkbroads	https://twitter.com/norfolkbroads
3507	mm.domus.SE431	facebook	https://www.facebook.com/pages/seaford-museum/202539539560?fref=ts	https://www.facebook.com/pages/seaford-museum/202539539560
3508	mm.domus.SE431	twitter	no_resource	no_resource
3509	mm.aim.1093	facebook	https://facebook.com/bbcradiowales/videos/10156665888665715/	https://facebook.com/bbcradiowales/videos/10156665888665715
3510	mm.aim.1093	twitter	https://www.twitter.com/nathistships	https://www.twitter.com/nathistships
3511	mm.aim.1093	facebook	https://www.facebook.com/national-historic-ships-uk-158543777519252	https://www.facebook.com/national-historic-ships-uk-158543777519252
3512	mm.domus.NW083	facebook	https://www.facebook.com/maccmuseums/	https://www.facebook.com/maccmuseums
3513	mm.domus.NW083	twitter	https://twitter.com/maccmuseums	https://twitter.com/maccmuseums
3518	mm.domus.SC227	facebook	https://www.facebook.com/timespanculturalorg/	https://www.facebook.com/timespanculturalorg
3519	mm.domus.SC227	twitter	https://twitter.com/timespan	https://twitter.com/timespan
3520	mm.aim.0217	facebook	no_resource	no_resource
3521	mm.aim.0217	twitter	no_resource	no_resource
3522	mm.wiki.020	facebook	https://www.facebook.com/bollingtondiscoverycentre?fref=ts	https://www.facebook.com/bollingtondiscoverycentre
3523	mm.wiki.020	twitter	no_resource	no_resource
3524	mm.domus.SE080	facebook	https://en-gb.facebook.com/colchestercastle	https://en-gb.facebook.com/colchestercastle
3525	mm.domus.SE080	twitter	https://twitter.com/colmuseums	https://twitter.com/colmuseums
3526	mm.domus.SE080	facebook	https://www.facebook.com/ipswichmuseums	https://www.facebook.com/ipswichmuseums
3527	mm.domus.SE080	twitter	https://twitter.com/ipswichmuseums	https://twitter.com/ipswichmuseums
3528	mm.ace.1109	twitter	https://twitter.com/englishheritage	https://twitter.com/englishheritage
3529	mm.ace.1109	facebook	https://www.facebook.com/englishheritage	https://www.facebook.com/englishheritage
3534	mm.ace.1109	facebook	http://www.facebook.com/beestoncastle	http://www.facebook.com/beestoncastle
3537	mm.domus.SE228	facebook	https://www.facebook.com/burwellmuseum	https://www.facebook.com/burwellmuseum
3539	mm.domus.SE228	twitter	https://twitter.com/burwellmuseum	https://twitter.com/burwellmuseum
3542	mm.domus.SE228	twitter	https://www.twitter.com/burwellmuseum	https://www.twitter.com/burwellmuseum
3545	mm.domus.SE409	facebook	no_resource	no_resource
3546	mm.domus.SE409	twitter	no_resource	no_resource
3547	mm.New.50	facebook	http://facebook.com/fermanaghlakelands	http://facebook.com/fermanaghlakelands
3548	mm.New.50	twitter	http://twitter.com/fermanaghlakes	http://twitter.com/fermanaghlakes
3549	mm.misc.146	facebook	no_resource	no_resource
3550	mm.misc.146	twitter	no_resource	no_resource
3551	mm.domus.SC261	facebook	https://www.facebook.com/mull-museum-in-tobermory-118511061494033/	https://www.facebook.com/mull-museum-in-tobermory-118511061494033
3554	mm.domus.SC261	twitter	no_resource	no_resource
3555	mm.domus.NE042	twitter	https://twitter.com/nelsammuseum	https://twitter.com/nelsammuseum
3556	mm.domus.NE042	facebook	https://www.facebook.com/events/456722938530230/	https://www.facebook.com/events/456722938530230
3559	mm.domus.EM015	facebook	https://www.facebook.com/bassetlawmuseum	https://www.facebook.com/bassetlawmuseum
3560	mm.domus.EM015	twitter	https://twitter.com/bassetlawmuseum	https://twitter.com/bassetlawmuseum
3561	mm.misc.048	facebook	https://www.facebook.com/pages/titanic-inverness-maritime-museum/440587216059088	https://www.facebook.com/pages/titanic-inverness-maritime-museum/440587216059088
3562	mm.misc.048	twitter	no_resource	no_resource
3563	mm.aim82NM.108	facebook	no_resource	no_resource
3564	mm.aim82NM.108	twitter	no_resource	no_resource
3565	mm.New.14	facebook	no_resource	no_resource
3566	mm.New.14	twitter	no_resource	no_resource
3567	mm.domus.SW189	facebook	https://www.facebook.com/nothe-fort-156814127713924	https://www.facebook.com/nothe-fort-156814127713924
3568	mm.domus.SW189	twitter	https://twitter.com/nothefort	https://twitter.com/nothefort
3569	mm.domus.NW114	twitter	https://twitter.com/motgm?ref_src=twsrc%5etfw	https://twitter.com/motgm
3570	mm.domus.NW114	facebook	https://www.facebook.com/motgm	https://www.facebook.com/motgm
3571	mm.domus.NW114	twitter	http://www.twitter.com/motgm	http://www.twitter.com/motgm
3572	mm.domus.EM003	facebook	https://www.facebook.com/weststreetalford/	https://www.facebook.com/weststreetalford
3573	mm.domus.EM003	twitter	https://twitter.com/alfordmanor	https://twitter.com/alfordmanor
3574	mm.domus.NE056	twitter	https://twitter.com/hattongallery	https://twitter.com/hattongallery
3575	mm.domus.NE056	facebook	https://www.facebook.com/thehatton	https://www.facebook.com/thehatton
3578	mm.wiki.187	facebook	https://www.facebook.com/eastlancsrly/	https://www.facebook.com/eastlancsrly
3579	mm.wiki.187	twitter	https://twitter.com/eastlancsrly	https://twitter.com/eastlancsrly
3580	mm.domus.EM007	facebook	no_resource	no_resource
3581	mm.domus.EM007	twitter	no_resource	no_resource
3582	mm.ace.1144	facebook	https://www.facebook.com/aeroventuresyam	https://www.facebook.com/aeroventuresyam
3583	mm.ace.1144	twitter	https://www.twitter.com/aeroventuresyam	https://www.twitter.com/aeroventuresyam
3584	mm.wiki.427	facebook	no_resource	no_resource
3585	mm.wiki.427	twitter	no_resource	no_resource
3586	mm.domus.SE379	twitter	https://twitter.com/sedgwickmuseum	https://twitter.com/sedgwickmuseum
3587	mm.domus.SE379	facebook	https://www.facebook.com/sedgwickmuseum?fref=ts	https://www.facebook.com/sedgwickmuseum
3588	mm.aim.1329	twitter	https://twitter.com/winterbournehg	https://twitter.com/winterbournehg
3589	mm.aim.1329	facebook	https://www.facebook.com/winterbournehg	https://www.facebook.com/winterbournehg
3590	mm.wiki.221	twitter	http://twitter.com/visitkent	http://twitter.com/visitkent
3591	mm.wiki.221	facebook	http://facebook.com/visitkent	http://facebook.com/visitkent
