museum_id	twitter_id	facebook_pages	twitter_action	facebook_action	correct_twitter	correct_facebook	twitter_id_old	facebook_pages_old
mm.domus.SC039	twitter.com/shetlandmanda	['www.facebook.com/shetlandmuseumandarchives', 'en-gb.facebook.com/shetlandmuseumandarchives']	keep	keep				
mm.domus.SC306	twitter.com/shetlandtextile	['www.facebook.com/shetlandtextiles', 'en-gb.facebook.com/shetlandtextiles']	keep	keep				
mm.domus.YH112	twitter.com/shibdenhall	['www.facebook.com/shibdenhall', 'www.facebook.com/870861306417050', 'en-gb.facebook.com/shibdenhall', 'en-gb.facebook.com/ShibdenHall/about']	keep	keep				
mm.domus.NE029	twitter.com/theshipley	['www.facebook.com/shipleyartgallery', 'en-gb.facebook.com/shipleyartgallery']	keep	keep				
mm.musa.308	twitter.com/shipwrecks_iow	en-gb.facebook.com/IOWShipwreckCentre	keep	keep				
mm.domus.SE346	twitter.com/shipwreckmuseum	['www.facebook.com/shipwreckmuseumhastings', '//www.facebook.com/shipwreckmuseumhastings', 'en-gb.facebook.com/ShipwreckMuseumHastings']	keep	keep				
mm.misc.256	twitter.com/shirehalldorset	['www.facebook.com/dorsetshirehall']	keep	keep				
mm.wiki.044	no_resource	['www.facebook.com/shire.horse.trust', 'en-gb.facebook.com/Shire.Horse.Trust']	keep	keep				
mm.domus.SE115	no_resource	['www.facebook.com/walsinghamvillage']	keep	keep				
mm.New.11	['twitter.com/kewgardens']	['www.facebook.com/kewgardens']	keep	keep				
mm.aim.0881	no_resource	en-gb.facebook.com/pages/category/Museum/Nisha-Shoe-Museum-1659880260964456/posts	keep	keep				
mm.aim.0882	['twitter.com/shorehammuseum', 'twitter.com/shorehammuseum/status/828893154833231872']	en-gb.facebook.com/pages/category/Nonprofit-Organization/Shoreham-Aircraft-Museum-505210912904684	keep	keep				
mm.domus.SC316	twitter.com/culture_nl/status/762654743537848320	no_resource	keep	keep				
mm.ace.333	twitter.com/shrewsmuseum	['www.facebook.com/shrewsburymuseum', 'en-gb.facebook.com/shrewsburymuseum']	keep	keep				
