muse_id	musname	town	url	url_source	Unnamed: 5
mm.aim.1202	The Storrington And District Museum	Storrington	https://www.storringtonmuseum.com/	pred	
mm.domus.SE434	Adjutant General's Corps Museum	Winchester	https://www.rhqagc.com/museum.html	pred	
mm.musa.140	Foresters Museum & Archive	Southampton	https://discovery.nationalarchives.gov.uk/details/a/A13530708	pred	
mm.misc.013	Defence Of The Nation Museum And Education Centre	Ramsgate	https://www.inspirock.com/united-kingdom/ramsgate/defence-of-the-nation-museum-and-education-centre-a3335834197	pred	
mm.wiki.213	Ferguson Family Museum	Freshwater	https://www.ferguson-museum.co.uk/	pred	
mm.musa.216	Manor Farm & Country Park	Southampton	https://www.hants.gov.uk/thingstodo/countryparks/manorfarm	pred	
mm.New.77	Midhurst Museum	Midhurst	https://visitmidhurst.com/adverts/the-midhurst-museum/	pred	
mm.domus.SW226	Elizabethan House	Plymouth	https://www.mayfairoffice.co.uk/members-home/British-Architectural-Styles/British-Architectural-Styles-Elizabethan	pred	
mm.domus.SW029	Corinium Museum	Cirencester	https://coriniummuseum.org/	pred	
mm.domus.SW238	Knightshayes Court	Tiverton	https://www.nationaltrust.org.uk/knightshayes	pred	
mm.domus.SW242	Chedworth Roman Villa	Near Cheltenham	https://www.nationaltrust.org.uk/chedworth-roman-villa	manual	
mm.domus.SW211	Dyrham Park	near Chippenham	https://www.nationaltrust.org.uk/dyrham-park	pred	
mm.domus.SW215	Lacock Abbey	near Chippenham	https://www.nationaltrust.org.uk/lacock-abbey-fox-talbot-museum-and-village/features/lacock-on-screen	manual	
mm.aim.1338	Cave Museum	Wells	http://hiddenrivercave.com/	pred	
mm.domus.SW011	Georgian House	Bristol	https://www.realtor.com/advice/buy/what-is-georgian-architecture/	pred	
mm.domus.SW172	Helston Museum	Helston	https://museumofcornishlife.co.uk/	pred	
mm.aim.1308	Weymouth Museum	Weymouth	https://www.weymouthmuseum.org.uk/	manual	
mm.domus.SW137	Tiverton Museum of Mid-Devon Life	Tiverton	https://www.tivertonmuseum.org.uk/	pred	
mm.ace.1097	The New Room	Bristol	https://www.newroombristol.org.uk/	manual	
mm.ace.1165	Royal West Of England Academy	Bristol	https://www.rwa.org.uk/	pred	
mm.domus.SW189	Nothe Fort Weymouth	Weymouth	https://nothefort.org.uk/	manual	
mm.domus.SW117	Gold Hill Museum And Gardens	Shaftesbury	https://goldhillmuseum.org.uk/	pred	
mm.domus.SW138	Torquay Museum	Torquay	http://www.torquaymuseum.org/homepage	pred	
mm.musa.273	Old Crown Court And Cells	Dorchester	https://www.culture24.org.uk/am9856	pred	
mm.domus.SW041	Warminster Museum	Warminster	http://www.warminstermuseum.org.uk/	pred	
mm.misc.047	Cornwall Aviation Heritage Centre	Newquay	https://cornwallaviationhc.co.uk/	manual	
mm.hha.065	Longleat House	Warminster	https://www.longleat.co.uk/longleat-house	pred	
mm.musa.286	Portland Castle	Portland	https://www.english-heritage.org.uk/visit/places/portland-castle/	pred	
mm.musa.092	Cotehele Discovery Centre	Saltash	https://www.nationaltrust.org.uk/cotehele/features/cotehele-quay	pred	
mm.domus.SW145	Wareham Town Museum	Wareham	http://www.greenacre.info/WTM/	pred	
mm.domus.SW053	Holsworthy Museum	Holsworthy	https://www.holsworthymuseum.co.uk/	pred	
mm.domus.SW033	Crewkerne & District Museum And Heritage Centre	Crewkerne	http://www.crewkernemuseum.co.uk/	pred	
mm.domus.SW165	Padstow Museum	Padstow	https://www.padstowmuseum.co.uk/	pred	
mm.domus.SW048	Museum Of Dartmoor Life	Okehampton	http://www.dartmoorlife.org.uk/	pred	
mm.domus.SW116	Wotton Under Edge Heritage Centre	Wotton-under-Edge	https://www.wottonheritage.com/	manual	
mm.domus.SW188	Beaminster Museum	Beaminster	http://beaminstermuseum.co.uk/	pred	
mm.domus.SW157	Ashburton Museum	Ashburton	https://ashburtonmuseum.co.nz/	pred	
mm.ace.1248	Museum Of Computing @ Swindon	Swindon	https://www.museumofcomputing.org.uk/	pred	
mm.domus.SW026	Combe Martin Museum	Combe Martin	https://combemartinmuseum.co.uk/	pred	
mm.wiki.401	Town Hall Museum	Royal Wootton Bassett	https://rwbthm.wordpress.com/	manual	
