museum_id	twitter_id	facebook_pages	new_twitter	new_fb	comment_fb
mm.domus.SE198	no_resource	en-gb.facebook.com/bloxhammill/?hc_location=ufi			
mm.aim.1305	['twitter.com/wsomrailway']	['www.facebook.com/pages/west-somerset-railway/173353569354043']			
mm.misc.253	['twitter.com/visit_swale']	['en-gb.facebook.com/visitswale', 'en-gb.facebook.com/bluetown.heritage']			
mm.ace.1164	twitter.com/bluebellrailway	en-gb.facebook.com/bluebellrailway/posts			
mm.wiki.302	twitter.com/blythbattery1	no_resource			
mm.musa.053	twitter.com/bodmingeneral	['facebook.com/bodmingeneral', 'en-gb.facebook.com/bodmingeneral/posts']			
mm.domus.SW013	no_resource	['www.facebook.com/bodmin.townmuseum', 'en-gb.facebook.com/bodmin.townmuseum']			
mm.hha.185	twitter.com/bodrhyddan	['www.facebook.com/bodrhyddan', 'en-gb.facebook.com/bodrhyddan']			
mm.misc.266	twitter.com/body_worlds	en-gb.facebook.com/BodyWorldsExhibition/posts			
mm.aim.0105	twitter.com/bognormuseum	['www.facebook.com/bognorregismuseum', 'en-gb.facebook.com/bognorregismuseum']			
mm.domus.YH037	no_resource	no_resource			
mm.wiki.020	no_resource	['www.facebook.com/bollingtondiscoverycentre', 'en-gb.facebook.com/pages/category/Tourist-Information-Center/BollingtonDiscoveryCentre/posts']			
mm.hha.118	twitter.com/bolton__castle	['www.facebook.com/boltoncastle1', 'www.facebook.com/boltoncastle1', 'en-gb.facebook.com/BoltonCastle']			
mm.domus.NW109	twitter.com/boltonlms	en-gb.facebook.com/BoltonLibraryandMuseumServices/posts/?ref=page_internal			
mm.domus.NW016	no_resource	['www.facebook.com/boltonsteammuseum', 'en-gb.facebook.com/BoltonSteamMuseum']			
mm.domus.SC073	['www.twitter.com/bonessrailway', 'twitter.com/bonessrailway']	['www.facebook.com/pages/boness-kinniel-railway/130837379412', 'en-gb.facebook.com/BonessKinneilRailway']			
mm.fcm.026	no_resource	['//www.facebook.com/pages/boness-motor-museum/204843619555133', 'en-gb.facebook.com/bonessmotormuseum']			
mm.domus.SE210	['twitter.com/brightonmuseums', 'twitter.com/BrightonMuseums/status/1258403383578439687']	['www.facebook.com/royalpavilionandbrightonmuseums', 'en-gb.facebook.com/royalpavilionandbrightonmuseums/about']			
mm.domus.SC289	no_resource	no_resource			
mm.domus.WM004	no_resource	['www.facebook.com/forge-mill-needle-museum-bordesley-abbey-visitor-centre-161529630538380', 'en-gb.facebook.com/Forge-Mill-Needle-Museum-Bordesley-Abbey-Visitor-Centre-161529630538380']			
mm.wiki.151	twitter.com/brdgallery	en-gb.facebook.com/OrleansHouseGallery			
mm.mald.019	twitter.com/borthstation	['www.facebook.com/borthstationmuseum', 'en-gb.facebook.com/borthstationmuseum']			
mm.domus.WM118	no_resource	no_resource			
mm.wiki.395	twitter.com/bdacatoldsarum	no_resource			
mm.domus.EM085	twitter.com/bostonguildhall	['en-gb.facebook.com/bostonguildhall', 'en-gb.facebook.com/BostonGuildhall']			
mm.wiki.152	no_resource	no_resource			
mm.ace.1200	twitter.com/bosworthlcc	['www.facebook.com/bosworthbattlefield', 'en-gb.facebook.com/BosworthBattlefield/?hc_location=ufi']			
mm.misc.114	twitter.com/bottishamairmus	['www.facebook.com/bottishamairfieldmuseum', 'en-gb.facebook.com/bottishamairfieldmuseum']			
mm.aim.1076	twitter.com/boughtonhouse	['www.facebook.com/boughtonhouse', 'www.facebook.com/pages/boughton-house-northamptonshire/104343492938726', 'en-gb.facebook.com/BoughtonHouse']			
mm.domus.SE209	no_resource	no_resource			
mm.aim.0107	no_resource	en-gb.facebook.com/HeritageRefurbishment			
mm.fcm.027	['twitter.com/bmouthofficial', 'twitter.com/bmthavimuseum']	['www.facebook.com/bournemouthofficial', 'en-gb.facebook.com/BmthAviationMuseum']			
