google_rank	url	domain	search	search_type	ts	muse_id	Museum_Name	Valid	location	year_closed
3	https://www.inspirock.com/united-kingdom/tuxford/the-museum-of-the-horse-a4269044219	www.inspirock.com	"Museum Of The Horse, Tuxford"	website	01/02/2021 18:18	mm.aim.0664	"Museum Of The Horse, Tuxford"	FALSE	Newark	9999:9999
1	https://www.newhavenfort.org.uk/	www.newhavenfort.org.uk	Newhaven Fort	website	01/02/2021 18:33	mm.aim.0699	Newhaven Fort	TRUE	Newhaven	9999:9999
2	https://www.newhavenfort.org.uk/plan-your-visit/admission-opening-times/	www.newhavenfort.org.uk	Newhaven Fort	website	01/02/2021 18:33	mm.aim.0699	Newhaven Fort	TRUE	Newhaven	9999:9999
3	https://www.newhavenfort.org.uk/about-us/newhaven-fort-story/	www.newhavenfort.org.uk	Newhaven Fort	website	01/02/2021 18:33	mm.aim.0699	Newhaven Fort	TRUE	Newhaven	9999:9999
1	https://tattonestate.com/peover-hall-gardens-park/	tattonestate.com	Peover Hall & Gardens	website	01/02/2021 18:54	mm.hha.134	Peover Hall & Gardens	TRUE	Knutsford	9999:9999
2	https://www.historichouses.org/houses/peover-hall.html	www.historichouses.org	Peover Hall & Gardens	website	01/02/2021 18:54	mm.hha.134	Peover Hall & Gardens	FALSE	Knutsford	9999:9999
3	https://www.gardenvisit.com/gardens/peover_hall_garden	www.gardenvisit.com	Peover Hall & Gardens	website	01/02/2021 18:54	mm.hha.134	Peover Hall & Gardens	FALSE	Knutsford	9999:9999
1	https://www.edinburghmuseums.org.uk/venue/queensferry-museum	www.edinburghmuseums.org.uk	Queensferry Museum	website	01/02/2021 19:07	mm.domus.SC137	Queensferry Museum	TRUE	South Queensferry	9999:9999
2	https://www.visitscotland.com/info/see-do/queensferry-museum-p255631	www.visitscotland.com	Queensferry Museum	website	01/02/2021 19:07	mm.domus.SC137	Queensferry Museum	FALSE	South Queensferry	9999:9999
3	https://www.edinburgh.gov.uk/directory-record/1086070/queensferry-museum	www.edinburgh.gov.uk	Queensferry Museum	website	01/02/2021 19:07	mm.domus.SC137	Queensferry Museum	FALSE	South Queensferry	9999:9999
1	https://www.frameworkknittersmuseum.org.uk/	www.frameworkknittersmuseum.org.uk	Ruddington Framework Knitters Museum	website	01/02/2021 19:26	mm.domus.EM056	Ruddington Framework Knitters Museum	TRUE	Ruddington	9999:9999
2	https://www.visit-nottinghamshire.co.uk/things-to-do/the-framework-knitters-museum-p355591	www.visit-nottinghamshire.co.uk	Ruddington Framework Knitters Museum	website	01/02/2021 19:26	mm.domus.EM056	Ruddington Framework Knitters Museum	FALSE	Ruddington	9999:9999
3	https://www.nottshelpyourself.org.uk/kb5/nottinghamshire/directory/service.page?id=KHrZCWQRl0o	www.nottshelpyourself.org.uk	Ruddington Framework Knitters Museum	website	01/02/2021 19:26	mm.domus.EM056	Ruddington Framework Knitters Museum	FALSE	Ruddington	9999:9999
1	http://shirehalldorset.org/	shirehalldorset.org	The Courthouse Museum	website	02/02/2021 09:53	mm.ace.1225	The Courthouse Museum	TRUE	Ripon	9999:9999
2	https://shirehalldorset.org/whats-on/	shirehalldorset.org	The Courthouse Museum	website	02/02/2021 09:53	mm.ace.1225	The Courthouse Museum	TRUE	Ripon	9999:9999
3	https://shirehalldorset.org/connect/support/volunteers/	shirehalldorset.org	The Courthouse Museum	website	02/02/2021 09:53	mm.ace.1225	The Courthouse Museum	TRUE	Ripon	9999:9999
1	https://www.wolves.co.uk/museum/	www.wolves.co.uk	Wolves Museum	website	02/02/2021 12:22	mm.fcm.276	Wolves Museum	TRUE	Wolverhampton	9999:9999
2	https://www.wolves.co.uk/club/history/	www.wolves.co.uk	Wolves Museum	website	02/02/2021 12:22	mm.fcm.276	Wolves Museum	TRUE	Wolverhampton	9999:9999
3	https://www.makeitwm.com/inspire-me/things-to-see-and-do/wolves-museum-and-stadium-tour-p1337761	www.makeitwm.com	Wolves Museum	website	02/02/2021 12:22	mm.fcm.276	Wolves Museum	FALSE	Wolverhampton	9999:9999
