session_id,indicator_code_merged,n_museums,n_sess_museums,indic_museum_pc,session_time,fn,fp,factor_upper,n_museums_upper,factor_lower,n_museums_lower,indic_museum_pc_upper,indic_museum_pc_lower
20220524,funding,1075,3023,35.560701290109165,2022-05-24,0.148,0.007,1.148,1234.1,0.993,1067.475,40.82368508104532,35.311776381078396
20210304,online_engag,2701,3018,89.49635520212061,2021-03-04,0.11233333333333333,0.07666666666666666,1.1123333333333334,3004.4123333333337,0.9233333333333333,2493.923333333333,99.54977910315883,82.63496796995803
20210404,online_engag,2726,3032,89.90765171503958,2021-04-04,0.11233333333333333,0.07666666666666666,1.1123333333333334,3032.220666666667,0.9233333333333333,2517.0066666666667,100.00727792436237,83.01473175021987
20210503,online_engag,2733,3043,89.8126848504765,2021-05-03,0.11233333333333333,0.07666666666666666,1.1123333333333334,3040.007,0.9233333333333333,2523.47,99.9016431153467,82.92704567860663
20210614,online_engag,2735,3056,89.49607329842932,2021-06-14,0.11233333333333333,0.07666666666666666,1.1123333333333334,3042.231666666667,0.9233333333333333,2525.3166666666666,99.54946553228623,82.63470767888307
20210629,online_engag,2737,3057,89.53222113182859,2021-06-29,0.11233333333333333,0.07666666666666666,1.1123333333333334,3044.4563333333335,0.9233333333333333,2527.1633333333334,99.589673972304,82.6680841783884
20210712,online_engag,2728,3050,89.44262295081967,2021-07-12,0.11233333333333333,0.07666666666666666,1.1123333333333334,3034.4453333333336,0.9233333333333333,2518.8533333333335,99.49001092896175,82.58535519125684
20210809,online_engag,2723,3042,89.51347797501643,2021-08-09,0.11233333333333333,0.07666666666666666,1.1123333333333334,3028.8836666666666,0.9233333333333333,2514.2366666666667,99.56882533420995,82.65077799693185
20210914,online_engag,2762,3047,90.64653757794552,2021-09-14,0.11233333333333333,0.07666666666666666,1.1123333333333334,3072.264666666667,0.9233333333333333,2550.246666666667,100.8291652992014,83.6969696969697
20211108,online_engag,2742,3043,90.10844561288202,2021-11-08,0.11233333333333333,0.07666666666666666,1.1123333333333334,3050.018,0.9233333333333333,2531.78,100.23062767006243,83.20013144922774
20211206,online_engag,2733,3026,90.3172504957039,2021-12-06,0.11233333333333333,0.07666666666666666,1.1123333333333334,3040.007,0.9233333333333333,2523.47,100.46288830138796,83.39292795769992
20220103,online_engag,2728,3032,89.9736147757256,2022-01-03,0.11233333333333333,0.07666666666666666,1.1123333333333334,3034.4453333333336,0.9233333333333333,2518.8533333333335,100.0806508355321,83.07563764291996
20220131,online_engag,2726,3029,89.99669858038956,2022-01-31,0.11233333333333333,0.07666666666666666,1.1123333333333334,3032.220666666667,0.9233333333333333,2517.0066666666667,100.10632772092,83.09695168922637
20220228,online_engag,2734,3038,89.99341672152732,2022-02-28,0.11233333333333333,0.07666666666666666,1.1123333333333334,3041.1193333333335,0.9233333333333333,2524.3933333333334,100.10267719991224,83.09392143954356
20220328,online_engag,2730,3034,89.98022412656559,2022-03-28,0.11233333333333333,0.07666666666666666,1.1123333333333334,3036.67,0.9233333333333333,2520.7,100.08800263678313,83.08174027686222
20220425,online_engag,2730,3027,90.18830525272547,2022-04-25,0.11233333333333333,0.07666666666666666,1.1123333333333334,3036.67,0.9233333333333333,2520.7,100.3194582094483,83.27386851668318
20220524,online_engag,2727,3023,90.2084022494211,2022-05-24,0.11233333333333333,0.07666666666666666,1.1123333333333334,3033.333,0.9233333333333333,2517.93,100.34181276877274,83.29242474363214
20210304,open_cur,1477,3018,48.93969516235918,2021-03-04,0.118,0.118,1.1179999999999999,1651.2859999999998,0.882,1302.714,54.71457919151755,43.16481113320079
20210404,open_cur,1531,3032,50.49472295514512,2021-04-04,0.118,0.118,1.1179999999999999,1711.658,0.882,1350.342,56.45310026385224,44.536345646437994
20210503,open_cur,1606,3043,52.776864935918496,2021-05-03,0.118,0.118,1.1179999999999999,1795.5079999999998,0.882,1416.492,59.00453499835688,46.54919487348012
20210614,open_cur,1697,3056,55.53010471204188,2021-06-14,0.118,0.118,1.1179999999999999,1897.2459999999999,0.882,1496.754,62.082657068062815,48.97755235602094
20210629,open_cur,1703,3057,55.708210664049716,2021-06-29,0.118,0.118,1.1179999999999999,1903.9539999999997,0.882,1502.046,62.281779522407575,49.13464180569186
20210712,open_cur,1736,3050,56.91803278688524,2021-07-12,0.118,0.118,1.1179999999999999,1940.8479999999997,0.882,1531.152,63.6343606557377,50.20170491803279
20210809,open_cur,1750,3042,57.52794214332676,2021-08-09,0.118,0.118,1.1179999999999999,1956.4999999999998,0.882,1543.5,64.3162393162393,50.7396449704142
20210914,open_cur,1776,3047,58.28683951427634,2021-09-14,0.118,0.118,1.1179999999999999,1985.5679999999998,0.882,1566.432,65.16468657696095,51.40899245159173
